code,ano,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,prosp_soc,renda_per_capita,gini
brasil,2015,0.248,0.214,0.263,0.266,0.765,0.852,0.72,0.729,Muito Alto,746.84,0.51
5,2015,0.242,0.282,0.243,0.201,0.787,0.869,0.737,0.761,Muito Alto,912.05,0.5
2,2015,0.311,0.212,0.361,0.361,0.706,0.817,0.657,0.655,Alto,471.24,0.51
1,2015,0.298,0.223,0.348,0.323,0.713,0.826,0.661,0.665,Muito Alto,500.88,0.5
3,2015,0.234,0.273,0.198,0.232,0.797,0.87,0.768,0.757,Muito Alto,890.77,0.5
4,2015,0.191,0.186,0.2,0.186,0.79,0.877,0.738,0.764,Muito Alto,927.01,0.46
53,2015,0.253,0.401,0.181,0.177,0.847,0.904,0.798,0.842,Muito Alto,1508.75,0.56
52,2015,0.247,0.27,0.257,0.215,0.769,0.862,0.724,0.728,Muito Alto,741.57,0.45
51,2015,0.226,0.242,0.236,0.201,0.775,0.857,0.744,0.731,Muito Alto,754.99,0.45
50,2015,0.206,0.143,0.285,0.189,0.764,0.862,0.686,0.753,Muito Alto,868.8,0.47
27,2015,0.351,0.215,0.433,0.406,0.67,0.802,0.593,0.631,Médio,406.34,0.48
29,2015,0.293,0.16,0.359,0.359,0.706,0.823,0.645,0.663,Muito Alto,493.98,0.51
23,2015,0.286,0.198,0.332,0.328,0.716,0.818,0.697,0.644,Muito Alto,438.94,0.49
21,2015,0.353,0.303,0.392,0.365,0.692,0.801,0.658,0.629,Médio,400.97,0.54
25,2015,0.31,0.208,0.356,0.367,0.717,0.818,0.67,0.672,Alto,523.53,0.52
26,2015,0.339,0.298,0.348,0.373,0.715,0.821,0.671,0.665,Alto,500.13,0.52
22,2015,0.285,0.144,0.359,0.352,0.691,0.809,0.627,0.65,Alto,457.55,0.51
24,2015,0.303,0.203,0.344,0.363,0.718,0.824,0.665,0.675,Alto,532.78,0.51
28,2015,0.301,0.176,0.36,0.369,0.69,0.816,0.618,0.652,Médio,463.77,0.48
12,2015,0.354,0.331,0.41,0.321,0.712,0.818,0.666,0.663,Alto,495.58,0.54
16,2015,0.25,0.117,0.334,0.299,0.729,0.836,0.686,0.675,Muito Alto,532.23,0.49
13,2015,0.347,0.309,0.378,0.355,0.72,0.824,0.689,0.658,Alto,480.57,0.52
15,2015,0.297,0.204,0.349,0.338,0.695,0.821,0.631,0.647,Alto,448.41,0.47
11,2015,0.206,0.062,0.305,0.251,0.732,0.845,0.66,0.703,Muito Alto,634.73,0.47
14,2015,0.258,0.209,0.307,0.258,0.765,0.837,0.757,0.707,Muito Alto,649.43,0.52
17,2015,0.25,0.174,0.298,0.277,0.744,0.835,0.704,0.699,Muito Alto,619.56,0.52
32,2015,0.229,0.179,0.24,0.268,0.77,0.86,0.728,0.728,Muito Alto,743.26,0.49
31,2015,0.211,0.134,0.237,0.263,0.764,0.858,0.711,0.731,Muito Alto,755.97,0.49
33,2015,0.282,0.41,0.201,0.235,0.788,0.87,0.734,0.765,Muito Alto,932.22,0.53
35,2015,0.238,0.328,0.175,0.213,0.817,0.877,0.81,0.768,Muito Alto,954.58,0.48
41,2015,0.19,0.164,0.217,0.191,0.792,0.874,0.751,0.758,Muito Alto,895.05,0.47
43,2015,0.221,0.239,0.213,0.21,0.776,0.874,0.7,0.763,Muito Alto,921.9,0.46
42,2015,0.128,0.098,0.149,0.137,0.81,0.886,0.775,0.774,Muito Alto,988.57,0.42
530010,2010,0.294,0.412,0.265,0.204,0.823,0.872,0.742,0.863,Muito Alto,1715.11,0.63
520013,2010,0.314,0.244,0.369,0.328,0.686,0.822,0.553,0.71,Médio,664.09,0.53
